word,translation,count
cubicle,小房間 隔間,0
indiscriminate,無差別的<->discriminating 有區別能力 有差別的,0
secretary,秘書,0
dexterous,靈巧的 熟練的,0
dolorous,悲痛的 sorrowful (記法:dolor->很花錢的 悲痛的),0
predicament,困境 窘境,0
dormitory,宿舍,0
errand,差事,0
verdict,判決,0
heterodox,異端的 非正統的,0
pitfall,陷阱 圈套,0
felicitous,適當的 得體的 <-> infelicitous,0
suffice,足夠 ,0
superfluous,多餘的,0
flamboyant,艷麗的 炫麗的 == ornate,0
effrontery,厚顏無恥的,0
idolatrize,視為偶像 盲目崇拜,0
abhorrent,討厭的 可恨的,0
petroglyph,岩石畫 glyph:刻、寫,0
germinate,發芽 發展,0
calligraph,書法 graph: 寫、畫,0
inhuman,不近人情 殘忍的,0
allegiance,忠誠,0
conjure,想起 conjure up,0
allusive,暗指的,0
prophylactic,預防疾病的,0
prolific,多產的,0
luminary,傑出人物,0
eclectic,折衷的 不拘一格的,0
monolithic,巨石的 巨大的,0
illuminate,闡述 闡明,0
